A类题目;;;;;
序号;问题;答案1;答案2;;正确答案
36;养乐多活性乳酸菌饮品中的菌种是经过特殊培养的么？ ;是;否;;1
37;便秘只是吃太多啦，不是肠道疾病。  ;是;否;;2
38;年轻人相比老年人肠道更健康，绝对不会便秘。;是;否;;2
39;养乐多饮品没有吸管的原因是为了防止产品受外部杂菌污染。　;是;否;;1
40;第一瓶养乐多活性乳酸菌乳饮品诞生于1935年;是;否;;1
41;肠道是人体最大的免疫器官么？;是;否;;1
42;肠道内的有益菌数量总是比有害菌数量强大。;是;否;;2
43;活性乳酸菌饮料属于药品么？;是;否;;2
44;口感越好的乳酸菌饮品对人体的好处越大。   ;是;否;;2
45;益生菌饮品适合天天饮用;是;否;;1
46;养乐多活性乳酸菌饮品是一个对肠道健康有益的食品;是;否;;1
47;长期摄入活性益生菌能呵护肠道健康;是;否;;1
48;吸烟与饮酒对肠道益处多多。;是;否;;2
49;将所有肠道细菌排成列起来，可以沿赤道绕地球两周半？;是;否;;1
50;养乐多是一种益生菌饮品;是;否;;1
;;;;;
B类题目;;;;;
序号;问题;答案1;答案2;;正确答案
1;养乐多的饮用适宜人群为;所有追求健康的人群;只适合成人饮用   ;;1
2;补充每日所需活性乳酸菌推荐喝几瓶养乐多;1-2瓶 ;5瓶以上;;1
3;冬天怎么喝养乐多？;微波炉加热后饮用;直接喝或常温放置半小时后;;2
4;哪些生活习惯帮助我们保护肠道健康？;三餐定时、合理膳食搭配;吸烟、精神压力大、失眠;;1
5;我们的大肠主要作用是什么？;吸收水分、矿物质并形成粪便 ;吸收食物中的营养;;1
6;肠道中居住着许多细菌，数量居然达到;100亿个 ;100兆个;;2
7;以下哪个因素容易导致肠道菌群失去平衡;过度疲劳;早睡早起;;1
8;随着年纪增长，人体肠内有害菌会大量繁殖，而有益菌却逐渐;增加;减少;;2
9;拥有哪些条件才能做合格的益生菌？;耐受胃液胆汁，活着到达肠内 ;价格昂贵;;1
10;食物通过消化道全程要经过;8_12小时;24_72 小时;;2
11;上班族长期紧张、疲劳会伤害肠道的什么功能？; 免疫力;合成氧气功能;;1
12;干酪乳杆菌代田株帮助我们肠道健康是通过？;清空肠道全部细菌;增加有益菌;;2
13;抗生素在杀死病原菌的同时，也会杀死肠内的;有益菌;有害菌;;1
14;当肠道菌群紊乱时，容易堆积产生更多;有益物质;有害物质;;2
15;当肠道有益菌打败有害菌时，会减少; 有害物质生成  ;有益物质生成;;1
16;小肠的长度大约是多少;5_6米;10_15米;;1
17;活性乳酸菌饮品最爱的温度是;高温存放;低温冷藏;;2
18;什么时侯喝活性乳酸菌饮品最好？; 饭前       ;饭后;;2
19;大便干燥是身体哪部分出现了问题？;胃部   ;肠道;;2
20;养乐多特有的“干酪乳杆菌代田株”的特点是;不畏胃酸胆汁，活着到达肠道; 可高温存放;;1
21;补充益生菌对我们健康的直接好处是;提高睡眠质量;改善便秘、腹泻症状;;2
22;有害菌喜欢的肠内环境是;偏碱性;偏酸性;;1
23;让你肠道健康漂亮的方法有？;不尊重便意，排便时间不固定;膳食搭配合理;;2
24;世界肠道健康日是哪天;1月1日;5月29日;;2
25;益生菌的优秀代表是;干酪乳杆菌代田株;伤寒菌;;1
26;有益菌会生成乳酸和醋酸使肠道保持弱酸性，保卫肠道，抑制;有害物质生成;乳酸菌生成;;1
27;我们的小肠可以？;制造便便;吸收营养;;2
28;补充益生菌使肠内菌群平衡，我们就可以;增强抵御力;不怕吃生冷食物;;1
29;肠道不健康我们就容易;喜欢吃甜食;长痘痘，面色暗黄;;2
30;急性肠炎让我们;腹痛、腹泻;感冒;;1
;;;;;
C类题目;;;;;
序号;问题;答案1;答案2;答案3;正确答案
1;不属于人体肠道主要功能的是？;吸收食物营养;免疫，抵御有害菌和毒素;呼吸，氧气、二氧化碳的交换;3
2;健康便便的颜色应该是;黑色;黄褐色;红色;2
3;健康便便的形状应该是;颗粒状;水液状;香蕉状;3
4;肠道菌群失去平衡会让我们肠道变“老”，表现为？;不用力就很难排便;排便时间固定 ;肠液分泌增多;1
5;做个合格的益生菌不需要？;长期食用经验，安全有保障;耐受胃液胆汁，活着到达肠内;能抵抗抗生素;3
6;以下哪些说错了？;肠内菌群呈现动态微生态平衡;大部分益生菌都属于乳酸菌;肠内菌群是固定微生态平衡;3
7;肠道中的免疫细胞占人体总量的;10%_20% ;30%_40% ;60%_70%;3
8;目前普遍推荐的每日益生菌摄取量为;40~100亿;10~15亿;5~8亿;1
9;选择益生菌饮品时，最最重要的是;味道好;是否具有“活性”  ;容量大;2
10;保护我们肠道最好的方式是;服用抗生素类药物;饮用活性乳酸菌饮品;经常去医院清洗肠道;2
11;哪些不是补充益生菌的好处;肠内有益菌增加，有害菌减少;减少肠内有害物质的产生;增加骨骼钙质;3
12;哪些不属于我们的消化道？;消化腺;口腔;小肠;1
13;有碍我们肠道健康的习惯是？;少吃难以消化的高脂肪食物;经常喝酒;时常补充益生菌;2
14;选择益生菌我们可以不考虑;活着到达肠道;全程冷链保存;可以高温加热;3
15;减速我们肠道变老的方法是？;补充益生菌;少吃主食;多吃红肉;1
16;不能让我们肠道年轻的是？;避免暴饮暴食 ;不按时排便、不按时吃饭 ;每天补充益生菌;2
17;不属于养乐多代田理念的是？;预防医学;健肠长寿;当地生产 当地销售;3
18;养乐多在中国大陆哪些地方没有工厂;海南;上海 ;天津;1
19;干酪乳杆菌代田菌主要作用于人体哪个部位？;胃;大肠;小肠;3
20;优秀的益生菌必须;耐受胃酸胆汁，活着到达肠道;不容易获得;以药物形式提供;1
